,llama_gc_full_answer,llama_gc_guess,llama_gc_ask_confidence,llama_gc_tok_confidence
28,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999581592914675
29,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9994001412506481
30,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9990262938918497
31,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998206222037653
32,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9996881265934748
33,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9666750590385592
34,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9995671001227027
35,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9958513948879917
36,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9994603924619422
37,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998787788491216
38,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998875982730323
39,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999009468904619
40,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9921959529122569
41,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.8330247074690044
42,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9818022767118897
43,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9619539677940951
44,"[Guess]: Yes

[Confidence]: 0.9",Yes,0.9,0.9999187058723578
45,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9231059420560356
46,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9040756643671621
47,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9613897301528328
48,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.7743968230391857
49,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9972934266364566
50,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9889094094870037
51,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9931874270947452
52,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9874042111750206
53,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.993999582915728
54,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9817466641935997
55,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9938874666210632
56,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9039548642762719
57,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9395632875693956
58,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9737901342264824
59,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9987259665912526
60,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.6488346498190894
61,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.4988992715616187
62,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9226120095719154
63,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9932115336981003
64,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9625005403211105
65,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9458205213926169
66,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9912418294849257
67,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9931893085015181
68,"[Guess]: No

[Confidence]: 0.7",No,0.7,0.677225228879839
69,"[Guess]: No

[Confidence]: 0.7",No,0.7,0.816070167504879
70,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.8163567044985804
71,"[Guess]: Yes

[Confidence]: 0.7",Yes,0.7,0.9977987689783504
72,"[Guess]: Yes

[Confidence]: 0.8",Yes,0.8,0.9997080225114381
73,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9818496223427187
74,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9818177901143242
75,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9213465645657103
76,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9998740116489376
77,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9989091150764988
78,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9990425940363276
79,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9995276775687857
80,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.999909051580875
81,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9993871632282983
82,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998593528253739
83,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998825926329088
84,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9984308109627447
85,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999181099254703
86,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998601870569845
87,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998519639783835
88,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998692445151326
89,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9990412852116389
90,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.6207965151812823
91,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9768473230078395
92,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998446944204133
93,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9986039842581329
94,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998628089343713
95,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999311017761935
96,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9996303494863036
97,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9932017731426553
98,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9967527084862778
99,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9991486174967729
100,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9998852146345244
101,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9987894663230569
102,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9992413320387428
103,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998833077248994
104,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998709130101064
105,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9987713907013873
106,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9974619359814535
107,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9995790109001783
108,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9794652966910978
109,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9838030239136027
110,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9886951819399242
111,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.999884976265166
112,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9990330755988958
113,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9996917006576034
114,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9974666801854208
115,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.999730421280595
116,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.999940279711872
117,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9993977599521875
118,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9997908314617086
119,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999597088831099
120,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999282411581683
121,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999426636198856
122,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.999911912093075
123,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999169180254854
124,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999147726207335
125,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999280027712771
126,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9831756468455148
127,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.6787890860981484
128,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.5618903807519279
129,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.8168661126490231
130,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.866417998693535
131,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.6772864665202355
132,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9977444142891381
133,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9995000479270162
134,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9524334412770792
135,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.999917156409734
136,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.999034027479264
137,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.996744181174582
138,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9818211221537569
139,"[Guess]: Yes

[Confidence]: 0.7",Yes,0.7,0.9983925474445676
140,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.988828975935189
141,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.8165613276034968
142,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.8515174174865208
143,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9693595730123614
144,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9977549761134235
145,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.997735632483945
146,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9982294254417625
147,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9977382433456052
148,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9985969705185803
149,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9984213042238049
150,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9737384778472494
151,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9967540113537916
152,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9952831884514273
153,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9979934503490475
154,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998790172097274
155,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9932104750357953
156,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9666347342554908
157,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.994000996512934
158,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9963305435625388
159,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9958386271070994
160,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9922619118038734
161,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9818459445575223
162,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9982226546519067
163,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9996242743185183
164,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9991449283024191
165,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9997343530869288
166,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9737476335955595
167,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.5597003115306386
168,"[Guess]: No

[Confidence]: 0.7",No,0.7,0.5293383060806018
169,"[Guess]: Yes

[Confidence]: 0.8",Yes,0.8,0.9988275224954986
170,"[Guess]: Yes

[Confidence]: 0.8",Yes,0.8,0.9998691253359875
171,"[Guess]: Yes

[Confidence]: 0.7",Yes,0.7,0.9985521567316573
172,"[Guess]: Yes

[Confidence]: 0.7",Yes,0.7,0.9974090408432187
173,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9569741924651597
174,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.864340963512509
175,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9788761064031181
176,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.5920288554266079
177,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.7765459456593554
178,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.5612709663442902
179,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.8351940488001451
180,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.6218560557343265
181,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.6200396866777301
182,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.8337543050338595
183,"[Guess]: Yes

[Confidence]: 0.7",Yes,0.7,0.9857288834067933
184,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.7288966740741405
185,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.8661522998569736
186,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9697968549803881
187,"[Guess]: Yes

[Confidence]: 0.8",Yes,0.8,0.9993415640607475
188,"[Guess]: Yes

[Confidence]: 0.9",Yes,0.9,0.9998943917270638
189,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.8665208379981761
190,"[Guess]: Yes

[Confidence]: 0.8",Yes,0.8,0.9995730554646082
191,"[Guess]: Yes

[Confidence]: 0.8",Yes,0.8,0.9997436465405656
192,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.6492310975183115
193,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9839556938306221
194,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9566547534583547
195,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.878345505125969
196,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9390153280549026
197,"[Guess]: Yes

[Confidence]: 0.8",Yes,0.8,0.9997697406799247
198,"[Guess]: Yes

[Confidence]: 0.9",Yes,0.9,0.9999086940219724
199,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.7302827327398143
200,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9452044273991689
201,"[Guess]: Yes

[Confidence]: 0.8",Yes,0.8,0.9996684697019241
202,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9994982615559317
203,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.996739325531624
204,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9986023199843748
205,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9974549381592224
206,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9997353062464941
207,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.6491486196994789
208,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9986055296078549
209,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.999113273813723
210,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9971138334231398
211,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9992264536933964
212,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9993621605802464
213,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9946834302033448
214,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9992172888746055
215,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9940032344811872
216,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.7046128711279656
217,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9874483783193156
218,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9995148152963348
219,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.8648798499748421
220,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.999600570057517
221,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998535132381372
222,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9997497231321468
223,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.923966320395627
224,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.7543877706744692
225,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9239899331107416
226,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9839887042301034
227,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9147065268425792
228,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.7766245891225003
229,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9990422370998293
230,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.8665969327374373
231,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.6504203051281727
232,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.7971262960843337
233,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.8801876325060991
234,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9455245762567842
235,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.6988690077548801
236,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.5610776000254091
237,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9984336629672083
238,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.5902235087647147
239,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9984393672330429
240,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9396940096146423
241,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.999136240947331
242,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998827118136592
243,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9768400413162287
244,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9931988335248688
245,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999284795451163
246,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998847379031397
247,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998656691760569
248,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998480312584627
249,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.999912984788169
250,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998839036292196
251,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.999921208870625
252,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9446594454855984
253,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9997278000849631
254,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.999896417854762
255,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9997833244759207
256,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9041363702332669
257,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9523126648196338
258,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998299172741218
259,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9998364716001731
260,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9994145485327524
261,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999315785515103
262,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9997230343320066
263,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9998504147210302
264,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9995659090702158
265,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9573448645031338
266,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9958380358598162
267,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9994559864932372
268,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9932276445593864
269,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9912674818275089
270,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998181197118986
271,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9993984743702162
272,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9994662274406598
273,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9997432891208254
274,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999115545331495
275,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998872407290764
276,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.999757110481616
277,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999202553446581
278,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998648349398721
279,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.999915368565632
280,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999413524701386
281,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9996560803123827
282,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9913276931705842
283,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9996241552122116
284,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998946300913916
285,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.998240116512978
286,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9993908541896517
287,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9739158549570096
288,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.998445190206699
289,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999100050888825
290,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999266916589424
291,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999104818395896
292,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9993975217935671
293,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9990458065287025
294,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9980120916491508
295,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9701987383978018
296,"[Guess]: Yes

[Confidence]: 0.8",Yes,0.8,0.9995924703839341
297,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.6777805665072155
298,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9768576743115526
299,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9146563623061044
300,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.6496044004905653
301,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.9958529316885499
302,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.987483947604154
303,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.999027840592913
304,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9993202541847933
305,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9913349563723685
306,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.998237859476278
307,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9997295872736379
308,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.5305354414679517
309,"[Guess]: No

[Confidence]: 0.8",No,0.8,0.6508437514774523
310,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9987863743590736
311,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.945467667303464
312,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9986339421251094
313,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.999690390167879
314,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9967643155316366
315,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9987774554825973
316,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.998437941163529
317,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9947120916127589
318,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9984316428401256
319,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999395645427589
320,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9987748392272753
321,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9989145866898044
322,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9993298971053514
323,"[Guess]: Yes

[Confidence]: 0.6",Yes,0.6,0.9551352381691319
324,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9923153183620556
325,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9994622977359988
326,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.7536056277743436
327,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.7767067821349493
328,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998535132381372
329,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9996876500506168
330,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998149022336376
331,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.999915368565632
332,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999438555760236
333,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9997574679353942
334,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9997286341195252
335,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999015428198451
336,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999333664464221
337,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999188250646881
338,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999046416627282
339,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999079788972756
340,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998805665550504
341,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998101356580845
342,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9998314664706156
343,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998914121268349
344,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999229967324447
345,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9980234902841912
346,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998875982730323
347,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999185866873171
348,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998909353997704
349,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9974691707389677
350,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9991534967409736
351,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9996725201439116
352,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999355119347216
353,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998233630346849
354,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9996265376028781
355,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998466011836493
356,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9999041649148056
357,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.999528392137866
358,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.9998939149840284
359,"[Guess]: No

[Confidence]: 1.0",No,1.0,0.99992728761822
360,"[Guess]: No

[Confidence]: 0.9",No,0.9,0.9997786773502014
